Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
gl-0791.jpg,glioma,2075.859375,2640.0,1569.84375,2582.0,0.9680764713345431,0.9594008550425983,0.9758582144065451,0.9602928059545413,8.140625,10.352941176470589,6.15625,10.125490196078431,0.4289779242569682,0.45286532967004933,0.4061241132661265,0.45060637234214496,0.8026424111406971,0.7940092001996689,0.8099879745958587,0.7948295333132009,0.8959031259799785,0.8910719388465046,0.8999933191951253,0.8915321269102987,0.8082096760654734,0.7569449112850768,0.8549608682721622,0.7622847579310864
no-1638.jpg,notumor,1814.8828125000002,2780.0,1783.0078125000002,2422.0000000000005,0.9720898900055364,0.9572478700827363,0.972580078545505,0.9627533601943838,7.117187500000001,10.901960784313726,6.992187500000001,9.498039215686276,0.4212900264218492,0.46217617415284745,0.4198404196958206,0.4481500870818606,0.8038682589591444,0.7894804374326795,0.8043313320560302,0.7945455662292962,0.8965870057942756,0.8885271168808971,0.8968452107560313,0.8913728547747548,0.8348490758493575,0.7479118236210921,0.8377496409277442,0.7803749772698865
no-0029.jpg,notumor,1695.3515625,2320.0,1500.1171875,2188.0000000000005,0.9739280970304186,0.9643219635222835,0.9769305018377265,0.9663519207701536,6.6484375,9.098039215686274,5.8828125,8.580392156862747,0.2856645424924089,0.30946994255007143,0.2775979145101078,0.30487516259039943,0.8853352916208611,0.875989386981998,0.888190195684202,0.8778786420684322,0.9409225747216724,0.9359430468687707,0.9424384307126922,0.9369517821469963,0.7079458909679653,0.6018236770151019,0.7415784440644864,0.6244785367711392
no-1474.jpg,notumor,1783.0078125,2400.0,1659.4921875,2446.0,0.972580078545505,0.9630916864023621,0.9744795591378833,0.9623842770584075,6.9921875,9.411764705882353,6.5078125,9.592156862745098,0.33825395556509497,0.36326647977837195,0.3329722352134299,0.3649502541184141,0.8561172249517914,0.8468101857136248,0.8579161724719758,0.8461554861119426,0.9252660292866001,0.9202229000158737,0.9262376436271502,0.9198671024185736,0.7660665851384223,0.686264215532037,0.7822720284025764,0.6802509463297345
no-1244.jpg,notumor,1751.1328125,2534.0,1757.109375,2416.0,0.9730702670854735,0.9610309722264941,0.9729783567342294,0.9628456309783779,6.8671875,9.937254901960785,6.890625,9.474509803921569,0.448568289008518,0.48372304590036125,0.44884887107632004,0.47886569233010085,0.7840662555041931,0.772164823838937,0.7839793025819396,0.7738413682608987,0.8854751580390006,0.878729095819034,0.8854260570945152,0.8796825383403372,0.8580598055537437,0.7953105826518291,0.8575753680300364,0.8048422919048223
no-0869.jpg,notumor,1691.3671875,2390.0,1719.2578125,2368.0,0.9739893705979147,0.9632454710423523,0.9735604556254422,0.9635837972503306,6.6328125,9.372549019607842,6.7421875,9.28627450980392,0.4084299236211044,0.439459591446124,0.40971600515166295,0.4385697607879962,0.8104938333138095,0.7998444214739517,0.810087409101968,0.800157996547331,0.9002743100376738,0.8943402157311007,0.9000485593022012,0.8945155093945163,0.8415620494838443,0.7769057534750776,0.838949409546004,0.7789593406815832
no-1245.jpg,notumor,4827.0703125,6270.0,3964.453125,6194.0,0.9257670729785009,0.903577030726171,0.9390328003414019,0.9047457939900962,18.9296875,24.588235294117645,15.546875,24.29019607843137,0.7601075915674884,0.808296495803889,0.7285507028744214,0.8059838086373008,0.6006835651214376,0.5813275288051307,0.612155913309334,0.5822722779116245,0.77503778302831,0.7624483777969042,0.7824039323197027,0.7630676758398461,0.7754518261521481,0.7091669297175064,0.815579502287567,0.7126921790542642
no-1499.jpg,notumor,2978.3203125,4262.0,3245.2734375000005,4546.0,0.9541980082966813,0.9344569864361948,0.9500926792744442,0.9300895026604742,11.6796875,16.71372549019608,12.726562500000002,17.827450980392157,0.5128621907056915,0.5581960976022913,0.5223634491604556,0.5670662995744279,0.7580102130753495,0.7401455818385884,0.7546548456047556,0.7363696401038196,0.8706378196904552,0.8603171402678134,0.8687087231084741,0.8581198285226951,0.7690057180159485,0.6699803407578161,0.7478471078955936,0.6479893545483416
no-0442.jpg,notumor,2322.890625,2699.0,1345.72265625,2699.0,0.9642775101497862,0.9584935256666565,0.9793048525781995,0.9584935256666565,9.109375,10.584313725490196,5.27734375,10.584313725490196,0.42339057664013635,0.43838161345754056,0.3792976687965499,0.43838161345754056,0.8094388055563067,0.8038907316427109,0.8239616405189335,0.8038907316427109,0.8996881712884229,0.8965995380562667,0.907723328178214,0.8965995380562667,0.7711738045117457,0.7344819211119468,0.8671418965436694,0.7344819211119468
no-0114.jpg,notumor,3340.8984375,4362.0,2846.8359375,4404.0,0.9486221136545382,0.9329191400362932,0.9562200360240519,0.9322732445483346,13.1015625,17.105882352941176,11.1640625,17.270588235294117,0.6230016056544814,0.6617685543242275,0.6029598786575953,0.6632194402200406,0.6840011480522815,0.669308799782889,0.6908761630705437,0.6687499686705539,0.8270436191956755,0.8181129505043231,0.8311896071718797,0.8177713425344239,0.8077576619749531,0.7497964659237576,0.8361870596077567,0.7473873534911113
no-1786.jpg,notumor,2860.78125,3924.0,2599.8046875,3810.0,0.9560055785378156,0.9396549072678622,0.9600189972088088,0.94140805216375,11.21875,15.388235294117647,10.1953125,14.941176470588236,0.6715274841074251,0.7160302188361526,0.6599669392444366,0.7116416291010594,0.6370591989859669,0.6214732678009124,0.6407356404763193,0.6230179193788922,0.7981598830973446,0.7883357582914227,0.8004596432527497,0.789314841732304,0.8628929079711048,0.812486547080931,0.8754005883720695,0.8179341856213933
no-1309.jpg,notumor,5020.3125,6544.0,4177.6171875,6386.0,0.9227953049549411,0.8993633315904408,0.9357546644803617,0.9017931289022852,19.6875,25.662745098039217,16.3828125,25.04313725490196,0.8157914072300769,0.8672073037421281,0.7847188397970017,0.862318551883408,0.5588767508477809,0.5386335756764655,0.5700031514884599,0.5405802459971256,0.7475805982285662,0.7339165999461148,0.7549855306484091,0.7352416242277947,0.7912666924386638,0.7286328228624387,0.826304069065031,0.7351847809901488
